Z,MuPrior,SigmaPrior,mu_omega,rho,sigma_collateral,sigma_direct,sigma_omega
0.5,"N(0,10Â²)",HalfCauchy_beta1,0.4751245792974658,0.8777426179993466,0.742952749144326,1.1984872721248798,1.0314447548549912
0.5,"N(0,10Â²)",HalfCauchy_beta2p5,0.47466660675889744,0.8731144122994202,0.7366324543516273,1.193183019708543,1.0403539693581938
0.5,"N(0,10Â²)",HalfCauchy_beta5,0.4787644912810242,0.8738686948556861,0.7307760027658,1.1875316117343055,1.04459654349674
0.5,"N(0,10Â²)",HalfNormal_sigma2,0.4747840426141972,0.8722310778776454,0.7336993280272099,1.1873526611362013,1.043439943979009
0.5,"N(0,2Â²)",HalfCauchy_beta1,0.4783198680119343,0.8783431413029704,0.7460592621757367,1.202683340914078,1.0294020181733246
0.5,"N(0,2Â²)",HalfCauchy_beta2p5,0.4760269719874718,0.8760868001469965,0.7406272747832304,1.1957293328972796,1.0365127463512016
0.5,"N(0,2Â²)",HalfCauchy_beta5,0.47596606880199893,0.8729856963345997,0.7352325643397865,1.1918643435438152,1.041364475077582
0.5,"N(0,2Â²)",HalfNormal_sigma2,0.4721787537040565,0.8767672051799797,0.7385062053593444,1.1937807168208137,1.0382970766846773
0.5,"N(0,5Â²)",HalfCauchy_beta1,0.4791795410827725,0.8776129471732342,0.7450322368606667,1.2010147620161848,1.030456117845475
0.5,"N(0,5Â²)",HalfCauchy_beta2p5,0.47342705720130074,0.873688054910682,0.7376010668309952,1.1933480872460298,1.0392328844053125
0.5,"N(0,5Â²)",HalfCauchy_beta5,0.47810637975627474,0.8728290963730836,0.7302746074167048,1.1907213112851722,1.0448188411586652
0.5,"N(0,5Â²)",HalfNormal_sigma2,0.47595036797878504,0.8737766552502017,0.7378186941451695,1.1941215619803711,1.0405058494475807
0.7,"N(0,10Â²)",HalfCauchy_beta1,0.4553049778682686,0.8805782490085675,0.7431739235799325,1.188929332071477,1.0417976139458487
0.7,"N(0,10Â²)",HalfCauchy_beta2p5,0.4606528419358529,0.8751293543006738,0.7330516049136799,1.18292857944463,1.053655152093133
0.7,"N(0,10Â²)",HalfCauchy_beta5,0.4601044876188837,0.8738677093356535,0.7318891479748068,1.1784128685544206,1.0563015444979824
0.7,"N(0,10Â²)",HalfNormal_sigma2,0.46118829669426586,0.8757641916051236,0.7347736099388276,1.1829536573817232,1.0523910882956506
0.7,"N(0,2Â²)",HalfCauchy_beta1,0.460369435272489,0.8770924572827076,0.7417112122705987,1.1855495827598759,1.0446575371706244
0.7,"N(0,2Â²)",HalfCauchy_beta2p5,0.45927364480448146,0.8761600557577065,0.731890103684967,1.180474637384416,1.0524675316959544
0.7,"N(0,2Â²)",HalfCauchy_beta5,0.45821545041876743,0.8755002224124621,0.7284391298768379,1.1758537707330206,1.0598162619339186
0.7,"N(0,2Â²)",HalfNormal_sigma2,0.4586469240667553,0.8744126100652031,0.7318228821225318,1.1827393660546166,1.0544424607784086
0.7,"N(0,5Â²)",HalfCauchy_beta1,0.4572379973332496,0.8766736701253941,0.7432054848474682,1.1853422322337601,1.0457610050737502
0.7,"N(0,5Â²)",HalfCauchy_beta2p5,0.4591302221497536,0.8751595596373165,0.7309358575666363,1.1795438284879611,1.052489171334971
0.7,"N(0,5Â²)",HalfCauchy_beta5,0.46067661909103425,0.8734323358569863,0.7321829028321079,1.1778549220937238,1.0551163863909063
0.7,"N(0,5Â²)",HalfNormal_sigma2,0.4598751002352045,0.874996746686793,0.7336026620271374,1.1810449474021385,1.054569259391179
0.9,"N(0,10Â²)",HalfCauchy_beta1,0.43800570819330514,0.8785399731806792,0.7505932902190909,1.1708342024705627,1.0670387475587544
0.9,"N(0,10Â²)",HalfCauchy_beta2p5,0.43815161193386154,0.8745167809303508,0.741796208388326,1.161899149538131,1.081250321671156
0.9,"N(0,10Â²)",HalfCauchy_beta5,0.43853208894061063,0.8752154579168336,0.7393668296451744,1.1602533390079348,1.081044777997583
0.9,"N(0,10Â²)",HalfNormal_sigma2,0.4372883871470217,0.8759044423344169,0.7469855431628253,1.1608264423476693,1.0786317143365212
0.9,"N(0,2Â²)",HalfCauchy_beta1,0.4360305989448216,0.8776102006997535,0.7507631914838002,1.172060159488842,1.0657318653113528
0.9,"N(0,2Â²)",HalfCauchy_beta2p5,0.4352567556725762,0.8764582574022521,0.7411422741752253,1.1625735706668183,1.0782777520610538
0.9,"N(0,2Â²)",HalfCauchy_beta5,0.4355405632329532,0.8762297727528134,0.7433731234256095,1.1609250507313467,1.078413497827705
0.9,"N(0,2Â²)",HalfNormal_sigma2,0.4384869234769344,0.8754450269070445,0.7435256663751054,1.1645538543793743,1.0767336761964414
0.9,"N(0,5Â²)",HalfCauchy_beta1,0.43613588846411777,0.8769893629194564,0.7514562253857546,1.1705104513482936,1.0675599100480606
0.9,"N(0,5Â²)",HalfCauchy_beta2p5,0.43953646979239935,0.8752894518691431,0.7405757073652217,1.1635403313713537,1.079556346028518
0.9,"N(0,5Â²)",HalfCauchy_beta5,0.4375161135233009,0.8768363436598822,0.7406453140454828,1.1618359610577262,1.0796315651162263
0.9,"N(0,5Â²)",HalfNormal_sigma2,0.43688467521307406,0.8760361670925711,0.7442806906618002,1.1615982875629576,1.077916551637468
