ZPrior,MuPrior,SigmaPrior,mu_omega,rho,sigma_collateral,sigma_direct,sigma_omega
Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta1,0.43254320541995345,0.8755849556733197,0.758056743393829,1.1589679873564331,1.080757296374829
Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta2p5,0.4316156001259463,0.8756807352659738,0.7543946315903182,1.1585031381155666,1.0842618424533474
Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,0.43288759652742964,0.8741055725575293,0.7562254051985279,1.1537539223678719,1.089087789861558
Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,0.42783904341428375,0.8749628846873063,0.7565254415455028,1.1525872679968254,1.090640782590564
Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta1,0.42990747142414043,0.8753886975215516,0.7538554837668828,1.1615795998985863,1.079718311205028
Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta2p5,0.4319897981089606,0.8769682462170234,0.7565583703350833,1.155950558828591,1.0854861286480326
Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta5,0.43250126270583145,0.8726242539760243,0.7553160801318699,1.1516505822337395,1.0922321724123139
Beta_1_1_sampled,"N(0,2²)",HalfNormal_sigma2,0.4280792338903657,0.8774411830474133,0.7666866494283837,1.1610525971495405,1.0843998221557112
Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta1,0.4318709485466119,0.8767377708243043,0.7581064541404524,1.1601431848630332,1.0796166441161008
Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta2p5,0.4317213203975742,0.873616598377944,0.7593920683594352,1.155308806588767,1.0906344997188777
Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta5,0.4312255237548477,0.8758999092223123,0.7622640202459832,1.15477258540192,1.0888067788872535
Beta_1_1_sampled,"N(0,5²)",HalfNormal_sigma2,0.4322615528459206,0.8767051209037734,0.7612564209393915,1.1566250797043676,1.08711067906154
Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta1,0.436753126961705,0.8774395284532706,0.7606784939167378,1.1641952368932138,1.075645692319547
Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta2p5,0.4294744750134112,0.875363682512928,0.7605306058721919,1.1548579279774378,1.086814656134095
Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta5,0.42717096387547643,0.8749283403703353,0.7664267078776809,1.1582929037663456,1.08691208761976
Beta_2_2_sampled,"N(0,10²)",HalfNormal_sigma2,0.4295656011518528,0.8747002945779148,0.762836191071589,1.1533563301934122,1.0894995462082038
Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta1,0.43084489854897173,0.8785911977594592,0.7655464983645582,1.163491752302347,1.0762352645710493
Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta2p5,0.4299390106567131,0.8752242052454589,0.7604137036472975,1.1574609853484437,1.0872680062953046
Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta5,0.43140666605010003,0.8722787092505558,0.750835396579434,1.1482336458892888,1.0968950442169443
Beta_2_2_sampled,"N(0,2²)",HalfNormal_sigma2,0.4295659239186272,0.8744884952682294,0.7554456619903313,1.1545030194895338,1.0887019991017763
Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta1,0.4356260160590192,0.8779969894519527,0.7626723238527254,1.1639584589342127,1.0761584561761093
Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta2p5,0.4307856477709,0.8750800692027441,0.7616121909231386,1.1513466657083682,1.090658725231788
Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta5,0.4326896016917722,0.8769163857713075,0.7628472943716991,1.153506174664913,1.0889176581284055
Beta_2_2_sampled,"N(0,5²)",HalfNormal_sigma2,0.43094704375632725,0.8751056826550264,0.764770606497125,1.1546977949639365,1.0874932349272455
