ZPrior,Parameter,MeanPosterior,MeanRMSE,CoverageRate,MinESS,MaxRhat
Beta_1_1_sampled,mu_omega,0.4312035464301555,0.06879645356984453,1.0,2854.0,1.0
Beta_2_2_sampled,mu_omega,0.431230747954573,0.068769252045427,1.0,3036.0,1.0
Beta_1_1_sampled,rho,0.8754763273562064,0.025476327356206325,1.0,2117.0,1.0
Beta_2_2_sampled,rho,0.8756761317099319,0.025676131709931892,1.0,2029.0,1.0
Beta_1_1_sampled,sigma_collateral,0.7582198140896383,0.04178018591036172,1.0,1716.0,1.0
Beta_2_2_sampled,sigma_collateral,0.7612179729137091,0.03878202708629099,1.0,2041.0,1.0
Beta_1_1_sampled,sigma_direct,1.1567412758754367,0.04325872412456313,1.0,2011.0,1.0
Beta_2_2_sampled,sigma_direct,1.156491741344288,0.04350825865571221,1.0,1843.0,1.01
Beta_1_1_sampled,sigma_omega,1.0860627289570963,0.08606272895709634,1.0,1784.0,1.0
Beta_2_2_sampled,sigma_omega,1.0859333642441857,0.08593336424418573,1.0,1915.0,1.01
