Z,MuPrior,SigmaPrior,mu_omega,sigma_collateral,sigma_direct,sigma_omega
0.5,"N(0,10²)",HalfCauchy_beta1,0.10656495997596405,0.0315807756730091,0.04201239658344913,0.21495140143158586
0.5,"N(0,10²)",HalfCauchy_beta2p5,0.10649104456384428,0.004716779127514226,0.020594979888191034,0.25043057019581383
0.5,"N(0,10²)",HalfCauchy_beta5,0.10480736833961646,0.04938766904714542,0.05978322023529303,0.18740307894739328
0.5,"N(0,10²)",HalfNormal_sigma2,0.10308481587291884,0.008217182323883354,0.02866835775829979,0.22895760789917774
0.5,"N(0,2²)",HalfCauchy_beta1,0.1037383346018586,0.019349838113386086,0.03619689341155419,0.22369419861599749
0.5,"N(0,2²)",HalfCauchy_beta2p5,0.10680450750252785,0.005628039708862165,0.02607734760465652,0.2422045564224231
0.5,"N(0,2²)",HalfCauchy_beta5,0.10591519279619432,0.017205563204334084,0.016014801412206348,0.25864560332952036
0.5,"N(0,2²)",HalfNormal_sigma2,0.10195948102153446,0.0003102102901948456,0.02480584618955528,0.24521368545563527
0.5,"N(0,5²)",HalfCauchy_beta1,0.10416920765536442,0.04283188695846074,0.05396099987907754,0.19270964412635405
0.5,"N(0,5²)",HalfCauchy_beta2p5,0.10596811791740779,0.007874444475841402,0.028044947203205828,0.23955270716466237
0.5,"N(0,5²)",HalfCauchy_beta5,0.10522188189915893,0.009480080572770722,0.030914865724364526,0.23637613036780025
0.5,"N(0,5²)",HalfNormal_sigma2,0.10135861807209079,0.003797876337876871,0.027758114651246668,0.24339965423580545
0.7,"N(0,10²)",HalfCauchy_beta1,0.13136665205610598,0.04286561923028942,0.04755507913920165,0.2129956103964865
0.7,"N(0,10²)",HalfCauchy_beta2p5,0.13300614552253476,0.015304701267918719,0.02190488417536085,0.23910835095321215
0.7,"N(0,10²)",HalfCauchy_beta5,0.13193107698993572,0.00918146520907015,0.014132887689565665,0.2462126740056716
0.7,"N(0,10²)",HalfNormal_sigma2,0.1282477192925952,0.0009414567971449683,0.018448809132521005,0.24793888736983494
0.7,"N(0,2²)",HalfCauchy_beta1,0.13120897260452136,0.035830510697998696,0.045535277398503604,0.21197359598005816
0.7,"N(0,2²)",HalfCauchy_beta2p5,0.13209249044951799,0.01690843284525989,0.026857374495772968,0.23244588848965675
0.7,"N(0,2²)",HalfCauchy_beta5,0.13178942604610067,0.0028934412655610142,0.011277127845842339,0.24923131110430408
0.7,"N(0,2²)",HalfNormal_sigma2,0.13129744602460058,0.012432268024380355,0.020274664807163,0.2376182184867095
0.7,"N(0,5²)",HalfCauchy_beta1,0.12803678580214545,0.044566499984544095,0.047442405339322535,0.21229332707234372
0.7,"N(0,5²)",HalfCauchy_beta2p5,0.1333675891941417,0.01352251725682918,0.022005771338478697,0.23488097293029964
0.7,"N(0,5²)",HalfCauchy_beta5,0.13248226485286174,0.010051723459789774,0.015573950873628783,0.25011700219520305
0.7,"N(0,5²)",HalfNormal_sigma2,0.13062516509853084,0.002863376591414779,0.011575973767815384,0.25368986732737175
0.9,"N(0,10²)",HalfCauchy_beta1,0.17212893578204103,0.024709814711065037,0.016064083158491727,0.23368438353665844
0.9,"N(0,10²)",HalfCauchy_beta2p5,0.17240972195509824,0.023200791643270713,0.010856272769357966,0.24595239261915647
0.9,"N(0,10²)",HalfCauchy_beta5,0.17157506984350496,0.010863987477485071,0.009233954759664265,0.2655137695359484
0.9,"N(0,10²)",HalfNormal_sigma2,0.17136230888045223,0.014638775977185436,0.008015753668833892,0.24798701638734477
0.9,"N(0,2²)",HalfCauchy_beta1,0.1690181098515014,0.04145588896266128,0.021233952185167215,0.22568187827900155
0.9,"N(0,2²)",HalfCauchy_beta2p5,0.16891988669321112,0.019347317552233734,0.004094677912965805,0.253839557728581
0.9,"N(0,2²)",HalfCauchy_beta5,0.17188706291341133,0.02743170334345746,0.0020523796856664056,0.24872562425126543
0.9,"N(0,2²)",HalfNormal_sigma2,0.17408609139612052,0.028067205142821794,0.009398937023593179,0.2482060497499392
0.9,"N(0,5²)",HalfCauchy_beta1,0.170576339316783,0.02940699141260894,0.018693624228458994,0.23003940295107572
0.9,"N(0,5²)",HalfCauchy_beta2p5,0.1745304163403814,0.01719710592520507,0.003750771617996085,0.2532030938566212
0.9,"N(0,5²)",HalfCauchy_beta5,0.17131036765898994,0.014218427757683894,0.003941051842393906,0.2609875014124141
0.9,"N(0,5²)",HalfNormal_sigma2,0.1751196763464284,0.027484316727329983,0.01540592048473921,0.2359379111232427
