Z,Parameter,MeanPosterior,MeanRMSE,CoverageRate,MinESS,MaxRhat
0.5,mu_omega,0.39532637248179325,0.10467362751820673,1.0,655.0,1.01
0.7,mu_omega,0.368712355505534,0.131287644494466,1.0,1882.0,1.0
0.9,mu_omega,0.32808966775183973,0.1719103322481603,1.0,1989.0,1.0
0.5,sigma_collateral,0.8129929367157661,0.01669836215277325,1.0,15.0,1.18
0.7,sigma_collateral,0.8168029382872809,0.01728016771918342,1.0,718.0,1.01
0.9,sigma_collateral,0.8231685272194174,0.023168527219417367,1.0,988.0,1.01
0.5,sigma_direct,1.2329027308784248,0.03290273087842499,1.0,17.0,1.15
0.7,sigma_direct,1.2252153505002645,0.025215350500264706,1.0,638.0,1.01
0.9,sigma_direct,1.2080326138444344,0.010228448278110721,1.0,864.0,1.01
0.5,sigma_omega,1.2302949031826806,0.23029490318268075,1.0,15.0,1.17
0.7,sigma_omega,1.2357088088592627,0.23570880885926263,1.0,639.0,1.01
0.9,sigma_omega,1.2458132151192707,0.24581321511927076,1.0,855.0,1.01
