SigmaPrior,Parameter,MeanPosterior,MeanRMSE,CoverageRate,MinESS,MaxRhat
HalfCauchy_beta1,mu_omega,0.31406984034355234,0.18593015965644766,1.0,1806.0,1.0
HalfCauchy_beta2p5,mu_omega,0.31617857544394523,0.18382142455605477,1.0,2368.0,1.0
HalfCauchy_beta5,mu_omega,0.3143281175069347,0.18567188249306532,1.0,2460.0,1.0
HalfNormal_sigma2,mu_omega,0.3146698046558855,0.18533019534411452,1.0,2381.0,1.0
HalfCauchy_beta1,sigma_collateral,0.8437659233616902,0.04376592336169024,1.0,985.0,1.01
HalfCauchy_beta2p5,sigma_collateral,0.8208939769370086,0.0208939769370086,1.0,867.0,1.01
HalfCauchy_beta5,sigma_collateral,0.8176917503420018,0.017691750342001784,1.0,1036.0,1.01
HalfNormal_sigma2,sigma_collateral,0.8274484776887173,0.02744847768871724,1.0,1124.0,1.0
HalfCauchy_beta1,sigma_direct,1.2317178934649917,0.03171789346499165,1.0,740.0,1.01
HalfCauchy_beta2p5,sigma_direct,1.2058239248195015,0.006057163471797004,1.0,831.0,1.01
HalfCauchy_beta5,sigma_direct,1.1951745337107316,0.008183361660327996,1.0,1007.0,1.0
HalfNormal_sigma2,sigma_direct,1.2088438627611058,0.008843862761105862,1.0,1014.0,1.0
HalfCauchy_beta1,sigma_omega,1.2098708061095764,0.20987080610957645,1.0,616.0,1.01
HalfCauchy_beta2p5,sigma_omega,1.2443893877321937,0.24438938773219357,1.0,792.0,1.01
HalfCauchy_beta5,sigma_omega,1.2586543475826526,0.25865434758265266,1.0,956.0,1.0
HalfNormal_sigma2,sigma_omega,1.2439356816864893,0.24393568168648924,1.0,1070.0,1.01
